source,target,edge_type
304900000,304912000,ownership
304900000,304913000,ownership
304900000,304914000,ownership
304900000,304915000,ownership
304900000,304916000,ownership
304900000,304917000,ownership
304900000,304918000,ownership
304900000,304919000,ownership
304900000,304920000,ownership
304900000,304921000,ownership
304900000,304922000,ownership
304900000,304923000,ownership
304900000,304924000,ownership
304900000,304925000,ownership
304900000,304926000,ownership
304900000,304927000,ownership
304900000,304928000,ownership
304900000,304929000,ownership
304900000,304930000,ownership
304900000,304931000,ownership
304900000,304932000,ownership
305400000,305402000,ownership
305400000,305403000,ownership
305400000,305404000,ownership
305400000,305405000,ownership
305400000,305406000,ownership
305400000,305407000,ownership
305400000,305408000,ownership
305400000,305409000,ownership
305400000,305410000,ownership
305400000,305411000,ownership
305400000,305412000,ownership
305400000,305413000,ownership
305400000,305414000,ownership
305400000,305415000,ownership
305400000,305416000,ownership
305400000,305417000,ownership
305400000,305418000,ownership
305400000,305419000,ownership
305400000,305420000,ownership
305400000,305421000,ownership
305400000,305422000,ownership
306900000,306901000,ownership
306900000,306902000,ownership
306900000,306903000,ownership
306900000,306904000,ownership
306900000,306905000,ownership
306900000,306906000,ownership
306900000,306907000,ownership
306900000,306908000,ownership
306900000,306909000,ownership
306900000,306910000,ownership
306900000,306911000,ownership
306900000,306912000,ownership
306900000,306913000,ownership
306900000,306914000,ownership
306900000,306915000,ownership
306900000,306916000,ownership
306900000,306917000,ownership
306900000,306918000,ownership
307100000,307101000,ownership
307100000,307102000,ownership
307100000,307103000,ownership
307100000,307104000,ownership
307100000,307105000,ownership
307100000,307106000,ownership
307100000,307108000,ownership
307100000,307109000,ownership
307100000,307110000,ownership
307100000,307111000,ownership
307100000,307112000,ownership
307100000,307113000,ownership
307100000,307114000,ownership
307700000,307701000,ownership
307700000,307702000,ownership
307700000,307703000,ownership
307700000,307704000,ownership
307700000,307705000,ownership
307700000,307706000,ownership
307700000,307707000,ownership
307700000,307708000,ownership
305400000,330100000,ownership
307100000,331400000,ownership
401000000,401001000,ownership
401000000,401002000,ownership
401000000,401003000,ownership
401000000,401004000,ownership
401000000,401005000,ownership
401000000,401006000,ownership
401000000,401007000,ownership
401000000,401008000,ownership
401000000,401009000,ownership
401000000,401010000,ownership
401000000,401011000,ownership
401000000,401012000,ownership
401000000,401013000,ownership
401000000,401014000,ownership
401000000,401015000,ownership
401000000,401016000,ownership
401000000,401017000,ownership
401000000,401018000,ownership
401000000,401019000,ownership
401000000,401020000,ownership
